last_work,next_work,weight
Massachusetts Institute of Technology,New York University,1
Massachusetts Institute of Technology,University of Colorado Boulder,5
Massachusetts Institute of Technology,Yale University,2
Massachusetts Institute of Technology,University of Texas at Austin,3
Massachusetts Institute of Technology,Carnegie Mellon University,4
Massachusetts Institute of Technology,University of Chicago,2
Massachusetts Institute of Technology,Ohio University,1
Massachusetts Institute of Technology,"University of Maryland, College Park",2
Massachusetts Institute of Technology,Stanford University,7
Massachusetts Institute of Technology,University of Illinois Urbana-Champaign,7
Massachusetts Institute of Technology,Rutgers University,2
Massachusetts Institute of Technology,University of Pennsylvania,5
Massachusetts Institute of Technology,Technion – Israel Institute of Technology,1
Massachusetts Institute of Technology,Duke University,4
Massachusetts Institute of Technology,University of Oxford,1
Massachusetts Institute of Technology,Institute of technology,1
Massachusetts Institute of Technology,Linnaeus University,1
Massachusetts Institute of Technology,Brown University,1
Massachusetts Institute of Technology,Delft University of Technology,1
Massachusetts Institute of Technology,Toyota Technological Institute,1
Massachusetts Institute of Technology,Chapman University,1
Massachusetts Institute of Technology,Lehigh University,2
Massachusetts Institute of Technology,Dartmouth College,2
Massachusetts Institute of Technology,"University of California, Los Angeles",1
Massachusetts Institute of Technology,North Carolina State University,2
Massachusetts Institute of Technology,Georgia Tech,1
Massachusetts Institute of Technology,"University of California, Irvine",2
Massachusetts Institute of Technology,California Institute of Technology,4
Massachusetts Institute of Technology,University of Minnesota,1
Massachusetts Institute of Technology,Princeton University,2
Massachusetts Institute of Technology,"University of California, San Diego",1
Massachusetts Institute of Technology,"University of California, Santa Barbara",1
Massachusetts Institute of Technology,University of Illinois Chicago,1
Massachusetts Institute of Technology,Portland Community College,1
Massachusetts Institute of Technology,Iowa State University,1
Massachusetts Institute of Technology,University of North Carolina at Chapel Hill,1
Massachusetts Institute of Technology,Boston University,2
Massachusetts Institute of Technology,University of Texas at Dallas,1
Massachusetts Institute of Technology,Wellesley College,1
Massachusetts Institute of Technology,Tufts University,1
Massachusetts Institute of Technology,Michigan State University,1
Massachusetts Institute of Technology,University of Massachusetts Amherst,1
Massachusetts Institute of Technology,Southern Methodist University,1
Massachusetts Institute of Technology,"University of California, Davis",1
City University,University of Nebraska–Lincoln,1
Lawrence Technological University,Kansas State University,1
Kennesaw State University,Kansas State University,1
"University of California, Santa Barbara",University of Otago,1
"University of California, Santa Barbara",Columbia University,2
"University of California, Santa Barbara",Michigan State University,1
"University of California, Santa Barbara",University of Chicago,1
"University of California, Santa Barbara",Massachusetts Institute of Technology,1
"University of California, Santa Barbara",ESIEE Paris,1
"University of California, Santa Barbara","University of California, San Diego",1
"University of California, Santa Barbara","University of California, Santa Cruz",1
"University of California, Santa Barbara",University,1
"University of California, Santa Barbara",Peking University,1
"University of California, Santa Barbara",University of Advancing Technology,1
"University of California, Santa Barbara","University of California, Santa Barbara",3
"University of California, Santa Barbara",Stony Brook University,1
"University of California, Santa Barbara",Arizona State University,1
"University of California, Santa Barbara",Georgia Tech,1
"University of California, Santa Barbara",University College London,1
"University of California, Santa Barbara",University of Texas at Arlington,1
"University of California, Santa Barbara",West Virginia University,1
"University of California, Santa Barbara",Rensselaer Polytechnic Institute,1
"University of California, Santa Barbara",TU Wien,1
University of Otago,Georgia Tech,1
Swarthmore College,"University of California, San Diego",1
Swarthmore College,Michigan State University,1
"University of California, San Diego","University of California, San Diego",3
"University of California, San Diego","University of California, Los Angeles",1
"University of California, San Diego",University of the Amazon,1
"University of California, San Diego",Carnegie Mellon University,1
"University of California, San Diego",Harvard University,1
"University of California, San Diego",University of Massachusetts Amherst,2
"University of California, San Diego",University of Virginia,1
"University of California, San Diego",North Carolina State University,1
"University of California, San Diego",University,1
"University of California, San Diego",Brown University,1
"University of California, San Diego",University of Washington,2
"University of California, San Diego","University of California, Berkeley",1
"University of California, San Diego",Yunnan University,1
"University of California, San Diego",Naval Postgraduate School,1
"University of California, San Diego",Baylor College of Medicine,1
"University of California, San Diego",University of San Diego,1
"University of California, San Diego",University of Bern,1
"University of California, San Diego",University of North Carolina at Chapel Hill,1
"University of California, San Diego",Georgia Tech,1
"University of California, San Diego",Northwestern University,1
"University of California, San Diego",West Virginia University,1
University of Southern California,Stanford University,3
University of Southern California,University of Arizona,1
University of Southern California,Northeastern University,1
University of Southern California,Northwestern University,1
University of Southern California,Cornell University,1
University of Southern California,"University of California, Berkeley",1
University of Southern California,University of Utah,1
University of Southern California,Georgia Tech,1
University of Southern California,University of Texas at Arlington,1
University of Southern California,University of Illinois Urbana-Champaign,2
University of Southern California,California Institute of Technology,1
University of Southern California,Massachusetts Institute of Technology,1
University of Southern California,Harvard University,1
University of Southern California,University of Central Florida,1
University of Southern California,University of Texas at Austin,1
University of Southern California,University of Notre Dame,1
University of Southern California,George Mason University,1
University of Southern California,KTH Royal Institute of Technology,1
University of Southern California,"University of California, Irvine",1
Stanford University,California Institute of Technology,3
Stanford University,Purdue University,4
Stanford University,University at Buffalo,1
Stanford University,Harvard University,5
Stanford University,Columbia University,5
Stanford University,London School of Economics,1
Stanford University,Cornell University,4
Stanford University,Stanford University,4
Stanford University,Washington University in St. Louis,1
Stanford University,George Mason University,1
Stanford University,Case Western Reserve University,1
Stanford University,Johns Hopkins University,1
Stanford University,Boston University,1
Stanford University,Colorado School of Mines,1
Stanford University,"University of California, Berkeley",9
Stanford University,University of Delaware,2
Stanford University,University of Texas at Austin,2
Stanford University,Carnegie Mellon University,3
Stanford University,University of Chicago,1
Stanford University,"University of Maryland, College Park",2
Stanford University,École Polytechnique Fédérale de Lausanne,2
Stanford University,Massachusetts Institute of Technology,5
Stanford University,Wesleyan University,1
Stanford University,ITMO University,1
Stanford University,Capital University,2
Stanford University,National University of Singapore,1
Stanford University,Hachinohe Gakuin University,1
Stanford University,University,1
Stanford University,Keio University,1
Stanford University,Rose–Hulman Institute of Technology,1
Stanford University,Ghent University,1
Stanford University,Pennsylvania State University,1
