last_edu,next_edu,weight
University of Illinois Urbana-Champaign,University of Tennessee,1
University of Illinois Urbana-Champaign,University of Minnesota,2
University of Illinois Urbana-Champaign,University of Cambridge,1
University of Illinois Urbana-Champaign,University of Colorado Boulder,1
Stony Brook University,Massachusetts Institute of Technology,1
Stony Brook University,"University of California, Los Angeles",1
Stony Brook University,"University of California, Berkeley",1
Stony Brook University,Columbia University,2
Stony Brook University,University of Michigan,1
Stony Brook University,University of Illinois Urbana-Champaign,1
Stony Brook University,Indiana University–Purdue University Indianapolis,1
Stony Brook University,Stony Brook University,3
Stony Brook University,California Institute of Technology,1
Stony Brook University,Duke University,1
Seoul National University,Georgia Tech,1
Seoul National University,Massachusetts Institute of Technology,3
Seoul National University,Horace H. Rackham School of Graduate Studies,1
Seoul National University,Stanford University,1
Seoul National University,Seoul National University,2
IIT Bombay,University of Texas at Austin,1
IIT Bombay,University of Massachusetts Amherst,1
IIT Bombay,University of Illinois Urbana-Champaign,3
IIT Bombay,University of Warwick,1
IIT Bombay,"University of California, Berkeley",2
IIT Bombay,Johns Hopkins University,2
IIT Bombay,Stanford University,4
IIT Bombay,Massachusetts Institute of Technology,1
IIT Bombay,Princeton University,1
IIT Bombay,Georgia Tech,1
IIT Bombay,University of Wisconsin–Madison,1
IIT Bombay,IIT Bombay,1
IIT Bombay,North Carolina State University,1
IIT Bombay,Syracuse University,1
IIT Bombay,University of Waterloo,1
IIT Bombay,Carnegie Mellon University,1
"The College at Brockport, State University of New York",Georgia Tech,1
Ocean University of China,University of Oregon,1
University of Oregon,University of Florida,1
Shandong University,University of the Chinese Academy of Sciences,1
University of the Chinese Academy of Sciences,University of Toronto,1
University of the Chinese Academy of Sciences,College of William & Mary,1
University of the Chinese Academy of Sciences,Rutgers University,1
Bangalore Institute of Technology,Rutgers University,1
Beijing Forestry University,University of Texas at San Antonio,1
Beijing Forestry University,Mississippi State University,1
Pennsylvania State University,Istanbul Technical University,1
Pennsylvania State University,Binghamton University,1
Pennsylvania State University,University of Vermont,1
Pennsylvania State University,Carnegie Mellon University,1
Pennsylvania State University,University of Memphis,1
Pennsylvania State University,Purdue University,1
Pennsylvania State University,Pennsylvania State University,4
Pennsylvania State University,University of Pennsylvania,1
Pennsylvania State University,West Virginia University,1
Pennsylvania State University,Rensselaer Polytechnic Institute,2
Istanbul Technical University,Pennsylvania State University,1
Istanbul Technical University,Istanbul Technical University,1
Istanbul Technical University,Technical University of Denmark,1
Hanyang University,KAIST,1
KAIST,KAIST,3
KAIST,University of Washington,1
KAIST,Georgia Tech,1
KAIST,University of Wisconsin–Madison,1
KAIST,Massachusetts Institute of Technology,1
KAIST,Carnegie Mellon University,1
KAIST,Purdue University,1
KAIST,Aalto University,1
KAIST,"University of Maryland, College Park",1
KAIST,"University of California, Berkeley",1
Vistula University,Virginia Tech,1
Indiana University Bloomington,Washington University in St. Louis,1
Indiana University Bloomington,Boston University,1
Indiana University Bloomington,Indiana University Bloomington,2
Indiana University Bloomington,Stanford Graduate School of Business,1
Indiana University Bloomington,University of Wisconsin–Madison,1
Indiana University Bloomington,"University of California, Los Angeles",1
"University of California, Irvine",Stony Brook University,1
"University of California, Irvine",Massachusetts Institute of Technology,1
"University of California, Irvine","University of California, San Diego",1
"University of California, Irvine","University of California, Irvine",5
"University of California, Irvine",Georgia Tech,1
"University of California, Irvine",California Institute of Technology,1
Oregon State University,University of Washington,1
PES University,Columbia University,2
PES University,North Carolina State University,1
Columbia University,University of Massachusetts Amherst,2
Columbia University,Columbia University,6
Columbia University,University of Cambridge,1
Columbia University,"University of Maryland, College Park",1
Columbia University,Carnegie Mellon University,2
Columbia University,University College London,1
Columbia University,Princeton University,1
Columbia University,Pennsylvania State University,1
Columbia University,Massachusetts Institute of Technology,1
Columbia University,"University of California, Berkeley",1
Columbia University,University of Pennsylvania,1
Binghamton University,Stony Brook University,1
Binghamton University,North Carolina State University,1
Binghamton University,Pennsylvania State University,1
"California State University, Northridge",UCLA Graduate School of Education and Information Studies,2
Colvin Taluqdars' College,IIT Kanpur,1
University at Buffalo,Boston University,1
University at Buffalo,Toyota Technological Institute at Chicago,1
University at Buffalo,University of Rochester,1
University at Buffalo,University of Massachusetts Amherst,1
Boston University,Massachusetts Institute of Technology,1
Boston University,Carroll School of Management,1
Boston University,Boston University,2
Boston University,Carnegie Mellon University,1
University of Padua,California Institute of Technology,1
University of Padua,University of Padua,2
University of Padua,Cornell University,1
University of Padua,"University of California, Berkeley",1
University of Padua,Brown University,2
California Institute of Technology,California Institute of Technology,3
California Institute of Technology,Massachusetts Institute of Technology,4
California Institute of Technology,University of Washington,1
California Institute of Technology,Princeton University,1
California Institute of Technology,Carnegie Mellon University,2
California Institute of Technology,Washington University in St. Louis,1
California Institute of Technology,University of Michigan,1
California Institute of Technology,"University of California, Berkeley",2
California Institute of Technology,Stanford University,2
California Institute of Technology,"University of California, San Diego",1
National Taiwan University,National Taiwan University,1
National Taiwan University,University of Illinois Urbana-Champaign,2
National Taiwan University,Yale University,1
National Taiwan University,"University of California, Los Angeles",1
National Taiwan University,"University of California, Berkeley",1
National Taiwan University,University of Southern California,1
National Taiwan University,Stanford University,1
KU Leuven,KU Leuven,2
University of Bologna,University of Bologna,1
University of San Francisco,Massachusetts Institute of Technology,1
Southeast University,Rutgers University,1
Southeast University,Syracuse University,1
University of Chicago,Purdue University,1
University of Chicago,Columbia University,1
University of Chicago,Carnegie Mellon University,2
University of Chicago,"University of California, Santa Barbara",1
University of Chicago,University of Illinois Urbana-Champaign,1
University of Chicago,Cornell University,1
University of Chicago,University of Chicago,2
University of Chicago,University of Washington,1
University of Chicago,University of Virginia,1
University of Chicago,University of Wisconsin–Madison,2
University of Chicago,Boston University,1
Hebrew University of Jerusalem,Hebrew University of Jerusalem,3
Hebrew University of Jerusalem,Technion – Israel Institute of Technology,2
Hebrew University of Jerusalem,Weizmann Institute of Science,1
Hebrew University of Jerusalem,Harvard University,1
Hebrew University of Jerusalem,Rutgers University,1
Harvard University,"University of California, Berkeley",5
Harvard University,Harvard University,3
Harvard University,Stanford University,5
Harvard University,Princeton University,4
Harvard University,University of Cambridge,2
Harvard University,Massachusetts Institute of Technology,6
Harvard University,Stanford University School of Medicine,1
Harvard University,UCLA Anderson School of Management,1
Harvard University,Carnegie Mellon University,1
Harvard University,University of Oxford,1
Harvard University,California Institute of the Arts,1
Harvard University,University of Washington,2
Harvard University,Georgia Tech,1
Harvard University,California Institute of Technology,1
Harvard University,University of Pennsylvania,2
Harvard University,Georgetown University Law Center,1
University of Oxford,University of Pennsylvania,2
University of Oxford,Stanford University,2
University of Oxford,Rockefeller University,1
University of Oxford,Harvard University,1
University of Oxford,Cornell University,1
Imperial College London,University of Pennsylvania,1
Imperial College London,University of Massachusetts Amherst,1
Imperial College London,Imperial College London,1
Santa Clara University,University of Colorado Boulder,1
Santa Clara University,Santa Clara University,1
Santa Clara University,Vanderbilt University,1
University of Colorado Boulder,Harvard University,1
University of Colorado Boulder,Stanford University,2
University of Colorado Boulder,Harvard T.H. Chan School of Public Health,1
University of Colorado Boulder,University of Arizona,1
University of Colorado Boulder,University of Colorado Boulder,5
University of Colorado Boulder,"University of California, Berkeley",1
University of Colorado Boulder,New York University,1
University of Colorado Boulder,University of Illinois Urbana-Champaign,1
University of Colorado Boulder,Harvard Medical School,1
University of Colorado Boulder,"University of California, San Diego",1
University of Colorado Boulder,University of Colorado School of Medicine,1
"University of California, Berkeley",Massachusetts Institute of Technology,6
"University of California, Berkeley",Carnegie Mellon University,2
"University of California, Berkeley","University of California, San Diego",1
"University of California, Berkeley",Stanford University,5
"University of California, Berkeley","University of California, Berkeley",14
"University of California, Berkeley",University of Wisconsin–Madison,2
"University of California, Berkeley",Harvard University,3
"University of California, Berkeley",University of Illinois Urbana-Champaign,1
"University of California, Berkeley",Tsinghua University,1
"University of California, Berkeley",University of Washington,3
"University of California, Berkeley",Case Western Reserve University,1
"University of California, Berkeley",Cornell University,1
Florida Institute of Technology,"University of California, Los Angeles",1
Florida Institute of Technology,"University of California, Santa Barbara",1
"Queens College, City University of New York",Princeton University,1
Yale University,Stanford University,2
Yale University,Yale University,3
Yale University,"University of California, Berkeley School of Information",1
Yale University,University of Chicago,2
Yale University,University of Massachusetts Amherst,1
Yale University,"University of California, Berkeley",1
Yale University,University of Cambridge,1
Yale University,University of Pennsylvania,2
Yale University,Carnegie Mellon University,2
Yale University,Massachusetts Institute of Technology,4
Yale University,Southern Methodist University,1
Yale University,University of Illinois Urbana-Champaign,1
Yale University,Harvard University,1
Yale University,University of Colorado Boulder,1
Lehigh University,"University of Maryland, College Park",1
Lehigh University,Fuqua School of Business,1
Northeastern University,Pennsylvania State University,1
