last_edu,next_edu,weight
Northwestern University,"University of California, Santa Barbara",1
Northwestern University,University of Science and Technology of China,1
Northwestern University,Northwestern University,3
Northwestern University,Tsinghua University,1
Georgia Tech,Cornell University,1
Georgia Tech,Georgia Tech,4
Georgia Tech,University of Wisconsin–Madison,1
Georgia Tech,Aristotle University of Thessaloniki,1
Georgia Tech,Brown University,1
Georgia Tech,"Institute of Software, Chinese Academy of Sciences",1
Georgia Tech,KAIST,1
Georgia Tech,National Chiao Tung University,1
Georgia Tech,Middle East Technical University,2
Georgia Tech,Carnegie Mellon University,1
Georgia Tech,University of Cape Town,1
Georgia Tech,Florida International University,1
Georgia Tech,IIT Bombay,1
Georgia Tech,University of Texas at Austin,1
Georgia Tech,Florida A&M University,1
Georgia Tech,"University of California, Los Angeles",1
Georgia Tech,RMIT University,1
University of Michigan,Northwestern University,1
University of Michigan,University of Michigan,3
University of Michigan,Seaholm High School,1
University of Michigan,University of Iowa,1
University of Michigan,IIT Kharagpur,1
University of Michigan,"University of California, Los Angeles",1
University of Michigan,California Institute of Technology,1
University of Michigan,Tsinghua University,1
University of Michigan,"College of Engineering, Guindy",1
University of Michigan,Princeton University,1
University of Southern California,IIT Madras,1
University of Southern California,Georgia Tech,1
University of Southern California,University of Tennessee,1
University of Southern California,University of Southern California,1
University of Southern California,Tsinghua University,1
Shanghai Jiao Tong University,Shanghai Jiao Tong University,1
Texas A&M University,Shanghai Jiao Tong University,1
Texas A&M University,Trinity University (Texas),1
National University of Singapore,University of Science and Technology of China,1
National University of Singapore,National University of Singapore,1
Rice University,Carnegie Mellon University,2
Rice University,Duke University,1
Rice University,Tsinghua University,1
Rice University,Karlsruhe Institute of Technology,1
Rice University,Ohio Wesleyan University,1
Rice University,Sharif University of Technology,1
Summer school,Northwestern University,1
Polytechnic University of Milan,Polytechnic University of Milan,2
"Birla Institute of Technology and Science, Pilani","St. Columba's School, Delhi",1
"Birla Institute of Technology and Science, Pilani",Junior college,1
Syracuse University,"Birla Institute of Technology and Science, Pilani",1
Brown University,Rensselaer Polytechnic Institute,1
Brown University,Brown University,5
Brown University,University of Crete,1
Brown University,IIT Madras,1
Brown University,"Cardinal Newman High School (West Palm Beach, Florida)",1
Brown University,University of Padua,2
Brown University,Albert Einstein College of Medicine,1
Brown University,Carnegie Mellon University,1
Kellogg School of Management,Kellogg School of Management,1
"University of California, Berkeley School of Information",Yale University,1
"University of California, Berkeley School of Information","University of California, Berkeley School of Information",1
"University of California, Santa Barbara",Macalester College,1
"University of California, Santa Barbara",University of Chicago,1
"University of California, Santa Barbara",Peking University,1
Hong Kong University of Science and Technology,Sun Yat-sen University,1
Hong Kong University of Science and Technology,Zhejiang University,1
University of North Carolina at Chapel Hill,Simon Fraser University,1
University of North Carolina at Chapel Hill,Cornell University,1
University of North Carolina at Chapel Hill,Florida State University,1
University of Southern Denmark,Odense University,1
University of Cambridge,University of Virginia,1
University of Cambridge,Williams College,2
University of Cambridge,Columbia University,1
University of Cambridge,Harvard University,2
University of Cambridge,University of Cambridge,1
University of Cambridge,Rice University,1
University of Cambridge,Yale University,1
University of Cambridge,Massachusetts Institute of Technology,1
University of Cambridge,University of Nottingham,1
Weizmann Institute of Science,Technion – Israel Institute of Technology,2
Weizmann Institute of Science,Weizmann Institute of Science,1
Weizmann Institute of Science,Hebrew University of Jerusalem,1
University of Toronto,Delft University of Technology,1
University of Toronto,University of Ioannina,1
University of Toronto,Queen's University,1
University of Toronto,University of Toronto,1
"Institute of Software, Chinese Academy of Sciences",Nankai University,1
Toyota Technological Institute at Chicago,University at Buffalo,1
KAIST,National Institute of Technology Calicut,1
The New School,Tel Aviv University,1
University of Erlangen–Nuremberg,Stanford University,1
Johns Hopkins University,Chestnut Hill College,1
Johns Hopkins University,Carnegie Mellon University,1
Johns Hopkins University,Johns Hopkins University,1
Johns Hopkins University,IIT Bombay,1
Johns Hopkins University,New York University Grossman School of Medicine,1
Johns Hopkins University,Massachusetts Institute of Technology,1
Johns Hopkins University,Purdue University,1
Technion – Israel Institute of Technology,Technion – Israel Institute of Technology,3
Technion – Israel Institute of Technology,Hebrew University of Jerusalem,1
Hebrew University of Jerusalem,Technion – Israel Institute of Technology,1
Hebrew University of Jerusalem,Hebrew University of Jerusalem,1
Hebrew University of Jerusalem,Hebrew Reali School,1
